AGENT NAME,LOGIN ID,STAFFED TIME,AUX TIME,TIME IN STARTUP TIME,"TIME IN TRAIN, MEET, PROJECT",TIME IN CALL COACHING,TIME IN SYSTEM ISSUES,TIME IN CASE WORK,TIME IN EXTERNAL SUPPORT,TIME IN UNSCHEDULED BREAK,TIME IN LUNCH,TIME IN BREAK,TIME IN OTHER PRODUCTIVE WORK,TIME IN AUX 10-99,TEAM,MONTH,ACD CALLS,HELD CALLS,AVG. ACD TIME,AVG. CALL RELATED ACW TIME,AVG. TOTAL ACW TIME,AVG. NON-CALL RELATED ACW TIME,AVG. HOLD TIME,AVG. HANDLE TIME,AVAILABLE TIME,UNSCHEDULED AUX TIME,% ACD TIME,% CALL RELATED ACW,% TOTAL ACW,% UN-SCHEDULED AUX,ACD CALLS RELEASED,AVG. ACW TIME,% AGENT OCCUPANCY W/ ACW,% AGENT OCCUPANCY W/O ACW,EXTN IN CALLS,AVG. EXTN IN TIME,EXTN OUT CALLS,AVG. EXTN OUT TIME,ACD TIME,ACW TIME,AGENT RING TIME,OTHER TIME,SHRINKAGE,Performance,RISK
v1,4220,3914.02,1032.18,112.53,191.05,31.35,18.75,0,0,58.63,368.07,251.8,0,0,PI_TEAM_DEASEY,2/1/2019,281,194,5.24,2.96,3.36,0.4,1.39,9.56,224.38,426.7,0.71,24.18,27.44,11.65,268,2.96,92,60,0,0,84,0.75,1473.22,943.83,7.15,233.25,26.37135222,77.79,24.4
v2,4231,8422.82,2109.42,142,691.22,0,33.42,0,0,17.67,728.2,496.92,0,0,PI_TEAM_DEASEY,2/1/2019,537,187,4.8,1.8,2.01,0.21,1.13,7.21,2473.68,745.87,0.59,13.39,14.94,9.41,456,1.8,61,44,4,4.28,109,1.65,2579.65,1081.05,24.13,154.88,25.04410637,90.73,31.25
v3,10947,5618.57,1731.85,228.72,616.87,0,57.65,0,0,29.92,503.58,295.12,0,0,PI_TEAM_DEASEY,2/1/2019,214,170,5.05,2.81,5.5,2.68,4.54,14.15,935.12,533.5,0.38,12.79,24.99,10.02,27,2.81,76,47,0,0,71,1.75,1081,1176.05,5,689.55,30.82367933,61.89,28.67
v4,15032,5454.48,1569.8,153.83,456.67,0,31.2,0,0,55.45,463.78,408.87,0,0,PI_TEAM_DEASEY,2/1/2019,263,125,4.8,4.25,4.76,0.51,2.99,10.98,1046.83,519.23,0.46,24.34,27.27,10.29,58,4.25,73,42,0,0,59,1.63,1261.45,1251.57,6.08,318.75,28.78001203,52.44,36.01
v5,15047,9007.17,1892.63,244.9,171.73,0.07,5.93,0,0.03,92.73,819.27,557.97,0,0,PI_TEAM_DEASEY,2/1/2019,781,464,5.13,2.31,2.37,0.07,1.43,8.36,694.75,912,0.81,21.76,22.38,10.79,696,2.31,90,65,0,0,225,0.78,4009.87,1852.82,19.05,538.05,21.01248228,93.06,24.78
v7,15060,7349.92,1750.3,112.4,130.12,71.05,168.1,0,0,195.28,686.48,386.87,0,0,PI_TEAM_DEASEY,2/1/2019,506,347,6.19,2.81,2.96,0.15,0.65,9.59,805.37,881.77,0.77,21.01,22.13,12.66,450,2.81,86,59,0,0,216,1.26,3129.67,1496.07,15.57,152.95,23.81386464,79.66,31.26
v8,15108,5834.65,1821,307.48,671.45,4.48,0,0,0,8.12,454.53,374.85,0.08,0,PI_TEAM_DEASEY,2/1/2019,324,171,4.76,2.35,2.57,0.22,3.04,8.93,1175.3,462.65,0.54,15.9,17.38,8.47,257,2.35,71,51,0,0,99,1.37,1551.18,831.18,6.53,449.45,31.21009829,93.71,16.97
v9,15219,8829.73,2172.73,276.92,269.55,0,66.83,0,0,196.12,822.32,541,0,0,PI_TEAM_DEASEY,2/1/2019,633,476,5.7,2.27,2.62,0.35,1.62,9.55,684.02,1018.43,0.75,17.93,20.71,12.29,432,2.27,90,65,0,0,241,1.1,3638.02,1661.17,17.88,655.92,24.60698119,88.32,25
v10,15231,7553.55,1862.82,213.65,139.48,16.37,93.88,0,2.63,279.48,683.6,433.72,0,0,PI_TEAM_DEASEY,2/1/2019,441,497,5.9,3.42,3.64,0.22,1.01,10.67,1081.4,963.08,0.62,21.67,23.03,13.53,411,3.42,81,54,0,0,322,0.75,2602.82,1603.27,16.47,386.78,24.66151677,65.49,38.84
v11,15253,9070.7,2003.4,191.27,135.42,33.97,59.53,0,0,210.98,813.68,558.55,0,0,PI_TEAM_DEASEY,2/1/2019,689,307,5.27,2.91,2.92,0.01,0.64,8.47,1275.25,1024.67,0.72,23.99,24.09,12.04,583,2.91,82,54,0,0,158,0.75,3628.38,2009.83,19.6,134.23,22.08649829,82.89,32.8
v12,15261,8647.7,2623.5,258.33,640.3,0,89.73,0,0,327.25,783.02,524.87,0,0,PI_TEAM_DEASEY,2/1/2019,293,229,6.89,5.94,6.72,0.78,2,15.18,1652.57,1110.27,0.45,23.27,26.31,13.67,259,5.94,73,41,1,0.1,131,1.71,2019.77,1968.97,11.63,371.27,30.3375464,7.93,55.31
v13,15289,9219.43,2043.63,288.33,299.33,0,19.65,0,0,55.55,815.1,565.67,0,0,PI_TEAM_DEASEY,2/1/2019,814,505,4.6,1.63,1.82,0.19,0.86,6.96,1665.15,870.65,0.75,15.85,17.74,10.06,361,1.63,77,57,2,6.11,301,1.14,3747.8,1481.75,23.47,257.63,22.16655477,83.72,30.99
v14,15535,9402.63,1895.18,51.85,176.77,71.2,0.17,0,0,110.85,886.82,597.53,0,0,PI_TEAM_DEASEY,2/1/2019,626,193,5.75,3.09,3.33,0.24,1.05,9.41,1564.05,997.67,0.7,22.64,24.4,11.33,505,3.09,79,52,1,0.08,165,0.72,3597.17,2087.52,97.73,160.98,20.15585001,76.5,37.17
v73,15249,540.53,148.13,13.63,19,0,27.7,0,0,22.15,32.8,32.85,0,0,PI_EL_PASO,2/1/2019,19,18,9.85,3.22,6.17,2.94,0.51,16.5,77.92,54.95,0.64,12.53,23.97,10.82,14,3.22,80,50,0,0,17,3.27,187.15,117.15,1.03,9.15,27.40458439,45.65,37.72
v15,15250,6667.65,1961.65,140.6,833.97,0,12.45,0,0,151.12,425.97,397.55,0,0,PI_EL_PASO,2/1/2019,429,225,5.74,2.68,3.11,0.43,0.85,9.3,747.63,577.08,0.75,21.18,24.57,9.2,114,2.68,84,56,0,0,145,2.62,2460.53,1335.88,11.55,150.4,29.42041049,87.08,16.82
v16,15273,9081.5,2077.97,439.57,311.13,80.05,0.5,0,0,47.8,593.65,605.27,0,0,PI_EL_PASO,2/1/2019,662,396,5.93,2.38,2.63,0.25,1.12,9.23,983.67,641.45,0.81,19.47,21.54,7.57,195,2.38,86,62,1,16.78,242,0.78,3930.4,1741.65,18.05,329.77,22.8813522,92.02,18.79
v17,15299,8767.42,2034.72,246.92,565.67,3.88,11.18,0,0,63.62,558.65,584.8,0,0,PI_EL_PASO,2/1/2019,460,341,8.04,3.33,3.7,0.37,2.22,13.39,714.48,622.27,0.81,20.13,22.38,7.6,414,3.33,90,65,0,0,229,2.01,3702.65,1703.77,11.45,600.35,23.20773956,60.27,27.27
v18,15304,7759.27,1956.15,333.35,447.18,84.18,46.82,0,0,72.22,451.97,513.13,7.3,0,PI_EL_PASO,2/1/2019,572,354,5.52,1.96,2.2,0.24,1.37,8.57,941.22,524.18,0.78,16.76,18.77,7.24,187,1.96,84,62,1,0.07,185,0.75,3155.73,1259.27,17.55,429.35,25.21049016,95.34,15.28
v19,15317,8646.23,1923.13,451.63,278.38,4.95,1.33,0,0,44.5,557.6,584.73,0,0,PI_EL_PASO,2/1/2019,488,445,6.47,3.81,4.19,0.38,2.2,12.67,711.42,602.1,0.68,23.9,26.27,7.47,448,3.81,90,60,1,0.58,282,1.65,3166.48,2043.57,13.52,788.12,22.24241085,55.78,29.64
v20,15318,5822.93,1479.45,97,502.28,0,19.63,0,0,49.92,416.85,393.77,0,0,PI_EL_PASO,2/1/2019,315,243,6.08,4.48,4.61,0.14,2.36,12.51,454.07,466.77,0.65,28.61,29.5,8.6,285,4.48,90,57,0,0,113,1.02,1915.18,1453.4,8.27,512.57,25.40731213,46.04,31.34
v21,15321,8798.28,1424.72,176.88,224.72,0.07,71.52,0,0,36.2,431.73,483.6,0,0,PI_EL_PASO,2/1/2019,475,382,6.95,4.59,5.15,0.56,2.59,14.18,750.45,467.93,0.68,26.97,30.24,5.63,376,4.59,90,57,1,19.78,210,1.1,3300.62,2446.48,13.83,862.18,16.19316503,37.51,39.29
v22,15402,8971.48,2137.15,498.42,412.73,0,18.5,0,0,100.07,561.67,545.77,0,0,PI_EL_PASO,2/1/2019,572,371,6.32,2.95,3.44,0.48,1.97,11.03,722.5,661.73,0.75,21.09,24.54,7.85,530,2.95,90,62,0,0,224,2.36,3612.7,1966,16.13,517,23.82159911,75.82,21.85
v23,15407,8697.77,2171.65,266.28,701.32,50.68,13.07,0,0,99.38,533.27,507.65,0,0,PI_EL_PASO,2/1/2019,441,432,6.12,5.08,5.45,0.37,2.01,13.54,697.47,632.65,0.6,30.13,32.34,7.72,401,5.08,90,53,1,6.78,322,1.54,2703.23,2405.23,12,708.18,24.96789407,32.53,34.72
v24,15418,8672.15,2057.12,183.68,337.48,0,0.05,0,0,292.2,569.67,674.03,0,0,PI_EL_PASO,2/1/2019,399,338,7.17,5.24,5.78,0.53,2.64,15.18,665.97,861.87,0.62,27.3,30.08,10.78,150,5.24,90,56,0,0,195,1.25,2866.07,2304.25,11.62,767.13,23.72099191,19.75,46.08
v25,15065,9339.18,2286.08,57.92,743.4,0,14.67,0,0,46.58,855.98,567.53,0,0,PI_TEAM_EADDY,2/1/2019,429,310,7.21,2.89,3.08,0.2,0.5,10.66,2523.92,902.57,0.64,15.42,16.47,10.29,368,2.89,64,46,1,0.15,170,0.85,3094.32,1322.45,15.67,96.75,24.47838033,74.83,37.5
v26,15066,8828.05,2486.18,146.58,539.28,0,1.53,100.47,0,303.3,833.13,561.88,0,0,PI_TEAM_EADDY,2/1/2019,548,155,3.82,2.34,2.61,0.27,1.87,6.95,2545.07,1236.9,0.45,16.58,18.48,14.96,373,2.34,60,38,4,0.68,101,1.9,2094.78,1428.2,45.95,227.87,28.16227819,87.16,39.57
v27,15068,8502.62,2003.15,277.48,245.32,66.35,75.53,0,0,33.58,784.35,520.53,0,0,PI_TEAM_EADDY,2/1/2019,705,271,4.7,1.65,2.03,0.38,1.5,7.31,1552.53,817.93,0.72,15.16,18.68,10.25,460,1.65,77,56,1,4.25,225,1.71,3312.93,1432.72,30.37,170.92,23.55920881,85.4,29.18
v28,15085,8745.22,2141.1,164.22,585.13,0,0,0,0,25.95,813.12,552.12,0.57,0,PI_TEAM_EADDY,2/1/2019,514,170,4.27,2.61,3.28,0.67,2.19,8.27,2483.52,839.07,0.48,17.66,22.18,10.24,388,2.61,63,38,4,5.13,153,2.28,2192.6,1687.7,32.18,208.12,24.48308905,88.96,33.13
v29,15116,8792.53,4632.25,216.05,3504.32,0,9.82,0,0,87.3,496.52,318.25,0,0,PI_TEAM_EADDY,2/1/2019,522,293,4.38,1.97,2.07,0.09,1.25,7.14,538.07,583.82,0.77,20.72,21.7,6.89,304,1.97,87,62,0,0,173,1.15,2285.87,1078.67,11.87,245.82,52.68392601,93.08,9.73
v74,15242,503.1,177.53,0.18,48.47,0,0,0,0,50.02,44.57,34.3,0,0,PI_TEAM_EADDY,2/1/2019,21,3,4.84,2.25,2.25,0,3.55,7.6,164.63,94.58,0.4,11.24,11.24,20.18,4,2.25,49,35,0,0,2,0.61,101.72,47.23,1.35,10.63,35.28721924,89.47,45.16
v30,15259,9318.07,5073,128.55,3981.67,0,13.18,3.05,0,47.68,536.42,362.45,0,0,PI_TEAM_EADDY,2/1/2019,242,229,6.23,3.79,4.42,0.63,0.85,11.46,1521.17,587.15,0.51,18.43,21.51,6.56,226,3.79,65,40,1,0.67,125,1.12,1508.87,1069.78,9.9,135.35,54.44260453,61.04,29.58
v31,15293,8206.3,2010.92,102.22,514.77,0,0,0,0,41.17,748.97,603.8,0,0,PI_TEAM_EADDY,2/1/2019,538,82,3.58,2.84,3.34,0.5,2.48,7.31,2246.35,790.13,0.45,21.59,25.38,10.39,398,2.84,64,35,0,0,123,2.85,1928.9,1799.08,33.55,187.5,24.50458794,82.4,35.13
v32,15377,8544.33,2479,239.27,528.87,0,79.3,0,0,274.08,864.82,492.62,0.05,0,PI_TEAM_EADDY,2/1/2019,446,285,5.88,2.36,2.67,0.31,2.01,9.83,1792.9,1138.9,0.58,13.98,15.83,14.14,345,2.36,71,52,1,11.72,189,1.62,2621.58,1191.1,26.13,433.62,29.01339251,85.16,32.85
v33,15463,6240.97,1985.07,160.87,395.18,79.95,0,16.85,0,247.65,634.67,449.9,0,0,PI_TEAM_EADDY,2/1/2019,380,87,3.53,2.84,3.19,0.34,1.99,7.17,1596.3,899.17,0.42,20.33,22.78,15.53,272,2.84,63,35,1,1.42,75,2.14,1342.13,1210.83,23.95,82.68,31.80707486,80.12,37.45
v34,15526,7997.92,2027.97,216.62,181.57,47.38,3.02,0,0,166.2,691.95,628.1,93.13,0,PI_TEAM_EADDY,2/1/2019,380,62,5.34,2.45,3.25,0.8,1.49,8.83,2630.35,858.15,0.48,13.21,17.51,11.79,45,2.45,56,36,2,11.22,95,2.34,2029.6,1234.35,23.68,51.97,25.35621762,88.64,38.22
v35,4113,8569.27,2931.32,196.15,1498.12,0,0,0,0,28.47,687.6,520.98,0,0,PI_TEAM_LINDSAY,2/1/2019,437,178,5.12,2.31,2.64,0.33,2.23,8.67,1881.05,716.07,0.57,15.44,17.63,8.9,361,2.31,67,47,0,0,82,1.47,2235.9,1154.92,62.38,303.7,34.20734788,95.39,15.54
v36,15016,8694.2,1797.02,182.62,185.58,0,34.7,0,0,82.88,767.92,543.32,0,0,PI_TEAM_LINDSAY,2/1/2019,584,265,8.05,2,2.31,0.31,0.53,10.6,773.23,850.8,0.98,14.69,16.94,10.44,179,2,89,70,2,0.48,181,0.87,4708.35,1349.02,18.55,48.03,20.66918175,84.17,27.93
v37,15023,4645.35,1249.58,68.48,304.27,20.32,55.6,0,0,17.52,418.83,364.57,0,0,PI_TEAM_LINDSAY,2/1/2019,364,174,5.41,1.11,1.3,0.19,0.87,7.13,832.13,436.35,0.83,10.2,11.93,10.19,252,1.11,76,62,0,0,91,0.89,1970.85,471.88,9.23,111.67,26.89958776,76.31,28.7
v38,15073,8717.77,2228.4,167.62,351.1,0,89.73,0,0,280.9,778,561.05,0,0,PI_TEAM_LINDSAY,2/1/2019,634,405,4.79,2.91,3.25,0.34,0.81,8.55,1136.05,1058.9,0.65,23.6,26.38,12.98,597,2.91,83,51,1,4.6,223,0.99,3035.1,2059.33,23.47,235.42,25.56158284,82.25,30.31
v39,15087,8804.1,2061.73,304.52,321.03,0.32,0.13,0.08,0.1,62.4,808.7,544.15,20.3,0,PI_TEAM_LINDSAY,2/1/2019,649,427,5.82,2.46,2.72,0.26,1.65,9.62,578.32,871.18,0.8,20.12,22.28,10.57,564,2.46,92,66,0,0,221,1.01,3776.93,1764.45,21.53,601.13,23.41783942,85.66,23.18
v40,15127,9287.75,2263.28,225.62,392.18,61.92,0,0,0,172.03,868.03,543.5,0,0,PI_TEAM_LINDSAY,2/1/2019,651,410,6.1,2.38,2.88,0.5,1.08,9.67,766.7,1040.07,0.8,18.69,22.64,11.89,607,2.38,89,63,0,0,215,0.66,3973.22,1877.2,15.77,391.58,24.3684423,86.25,25.67
v41,15223,8283.22,1802.9,118.3,307.35,49.43,76.67,55.67,0,12.38,629.83,553.27,0,0,PI_TEAM_LINDSAY,2/1/2019,524,313,7.5,2.83,3.04,0.21,1.16,11.23,655.22,697.88,0.89,20.08,21.61,9.03,476,2.83,90,66,0,0,161,1.03,3928.6,1593.18,15.47,287.85,21.76569015,76.86,26.05
v42,15237,6282.2,1050.45,205.85,310.03,9.57,0,0,0,0,0,525,0,0,PI_TEAM_LINDSAY,2/1/2019,420,287,5.2,2.39,2.42,0.03,0.48,7.95,1945.93,0,0.67,18.45,18.7,0,238,2.39,63,44,0,0,155,0.5,2184.68,1016.93,14.93,69.27,16.72105313,95.46,20.94
v43,15256,8503.38,1658.45,169.48,202.32,0,35.08,0,0,3.8,749.9,497.87,0,0,PI_TEAM_LINDSAY,2/1/2019,763,232,4.56,2.89,3.02,0.13,1.05,7.9,855.13,753.7,0.74,28.27,29.55,9.41,643,2.89,88,54,1,2.27,186,0.92,3480.98,2305.48,25.45,177.88,19.50342099,87.5,26.7
v44,15298,8838.88,1972.5,271.83,284.85,56.05,3.45,0,0,83.67,759.92,512.73,0,0,PI_TEAM_LINDSAY,2/1/2019,624,252,6,2.81,2.95,0.14,1.89,9.71,923.93,843.58,0.78,21.99,23.05,10.13,203,2.81,87,60,3,6.27,147,2.26,3744.33,1840.37,10.97,346.78,22.31617581,80.01,27.74
v45,15524,8910.15,2050.15,154.82,494.67,0,53.6,0,0,12.72,748.53,585.82,0,0,PI_TEAM_LINDSAY,2/1/2019,491,297,7.75,3.01,3.29,0.28,1.7,12.07,985.82,761.25,0.81,18.86,20.65,9.14,447,3.01,86,62,1,15.18,145,1.41,3803.38,1616.53,11.32,442.95,23.00915248,70.63,28.68
v46,15529,8820.93,2250,194.12,378.97,33.12,8.32,0,0.05,236.45,829.05,569.93,0,0,PI_TEAM_LINDSAY,2/1/2019,705,419,4.96,2.36,2.55,0.19,0.7,7.93,1043.67,1065.5,0.74,21.18,22.92,12.91,630,2.36,84,57,0,0,237,0.73,3499.15,1796.92,21.65,209.55,25.50751451,91.54,26.7
v47,10798,6200.78,1489.9,149.55,346.93,10.3,1.32,4.67,0,94.48,459.47,423.18,0,0,PI_TEAM_ONLEY,2/1/2019,393,248,4.98,1.68,1.78,0.11,1.29,7.58,1856.62,558.62,0.6,12.15,12.94,9.67,333,1.68,62,47,1,3.6,157,1.31,1956.93,701.48,16.45,179.4,24.02762233,90.38,32.57
v48,15048,5613.08,1743.75,179.23,808.42,0,0,0,0,7.5,499.28,249.32,0,0,PI_TEAM_ONLEY,2/1/2019,252,176,4.91,3.64,3.78,0.14,3.61,11.21,1129.93,506.78,0.45,20.14,20.93,9.45,173,3.64,72,47,0,0,74,1.63,1241.77,953.3,6.35,537.98,31.06583195,64.38,28.29
v49,15051,8728.37,2116.48,317.07,200.13,36.98,138.9,0,0,82.85,789.15,551.4,0,0,PI_TEAM_ONLEY,2/1/2019,614,417,5.02,2.59,2.98,0.39,1.65,9.12,1139.87,872,0.65,20.02,23.06,10.66,397,2.59,83,56,0,0,244,1.68,3095.5,1830.7,16.82,529,24.24828462,85.66,26.39
v50,15056,9169.53,2388.02,228.5,291.6,0,119.78,0,0,317.47,865.18,565.48,0,0,PI_TEAM_ONLEY,2/1/2019,624,431,5.45,2.37,2.67,0.29,2.33,9.73,848.1,1182.65,0.68,17.82,20.03,13.75,508,2.37,88,64,3,3.29,206,1.32,3401.3,1665,14.03,853.08,26.04299239,85.54,27.87
v51,15075,8924.75,1876.4,161.57,213.98,61.73,2.07,0,0,136.47,759.35,541.23,0,0,PI_TEAM_ONLEY,2/1/2019,552,437,6.06,3.2,3.61,0.41,1.12,10.55,1279.27,895.82,0.69,21.79,24.55,10.69,441,3.2,82,54,1,2.22,216,0.92,3347.42,1990.68,14.5,416.48,21.02467856,70.34,35.71
v52,15082,8800.97,1812.95,73.12,182.7,28.5,0,0,0,183.82,798.38,546.43,0,0,PI_TEAM_ONLEY,2/1/2019,786,412,4.37,2.29,2.59,0.3,0.6,7.27,1311.67,982.2,0.71,22.38,25.3,11.9,582,2.29,81,53,0,0,201,0.41,3432.53,2034.88,26.3,182.63,20.59943393,90.26,32.24
v53,15104,8741.33,2149.37,294.43,221.28,0.07,0,0,0,291.63,822.03,519.92,0,0,PI_TEAM_ONLEY,2/1/2019,688,373,6.28,1.53,1.67,0.15,1.06,8.52,874.58,1113.67,0.9,13.14,14.4,13.55,646,1.53,87,70,0,0,239,1.31,4318.13,1151.85,17.03,230.37,24.58859235,84.36,30.01
v54,15115,8037.05,1951.75,173.65,359.13,34.37,16.42,0,0,167.2,683.42,517.57,0,0,PI_TEAM_ONLEY,2/1/2019,788,408,4.6,1.95,2.11,0.16,0.38,6.91,694.22,850.62,0.85,21.59,23.38,11.31,314,1.95,89,62,1,0.4,240,0.64,3628.38,1666.2,20.62,75.88,24.28440784,88.06,24.09
v55,15131,3936.48,809.9,56.2,22.42,27.7,8.02,0,0.97,92.78,363.4,238.42,0,0,PI_TEAM_ONLEY,2/1/2019,183,118,6.36,2.25,2.39,0.14,1.7,9.85,1356.6,456.18,0.53,11.31,12,12.34,132,2.25,57,43,0,0,63,1.5,1163.27,437.75,9.27,159.7,20.57421859,87.38,44.71
v56,15198,7221.95,1709.68,136.15,193.75,27.58,22.8,0,0,223.9,669.15,436.35,0,0,PI_TEAM_ONLEY,2/1/2019,313,142,4.72,3.38,6.41,3.03,2.04,12.06,1765.03,893.05,0.38,16.13,30.57,13.16,258,3.38,68,32,0,0,102,0.7,1480.3,2006.75,14.8,245.38,23.67338461,60.55,46.72
v57,15297,7548.48,2275.33,166.75,368.98,0,16.88,0,0,460.72,710.68,532.38,18.93,0,PI_TEAM_ONLEY,2/1/2019,236,174,6.58,6.39,7.41,1.03,1.38,15,1778.97,1171.4,0.39,22.73,26.39,16.74,197,6.39,67,34,0,0,113,1.69,1552.03,1749.05,14.87,178.23,30.14288969,0.67,66.31
v58,15301,8354.05,2043.67,332.6,274.7,41.38,0,0,0,172.88,719.43,502.67,0,0,PI_TEAM_ONLEY,2/1/2019,690,310,5.58,1.08,1.13,0.06,1.83,7.54,1238.03,892.32,0.85,9.86,10.38,11.37,141,1.08,81,69,0,0,157,1.15,3852.88,781.85,13.6,424.02,24.46322442,77.13,31.19
v59,15514,5307.98,1975.73,118.7,1109.88,0,72.55,13.18,0,57.3,386.12,218,0,0,PI_TEAM_ONLEY,2/1/2019,349,187,4.98,1.15,1.34,0.2,1.17,6.95,961.05,456.6,0.73,10.05,11.78,8.97,218,1.15,72,58,2,10.27,102,1.76,1737.13,468.73,9.93,155.4,37.22188102,79.59,15.24
v60,15515,9256.67,2020.92,162.1,236.68,75.27,113.17,0,0,35.92,855.5,542.28,0,0,PI_TEAM_ONLEY,2/1/2019,583,303,7.12,3.18,3.29,0.11,1.45,11.16,874.05,891.42,0.82,22.1,22.83,10.23,148,3.18,88,62,1,4.28,171,2.1,4149.8,1917.9,14,280,21.83204111,68.31,31.94
v61,15540,5709.32,1764.65,110.87,852.65,0,19.88,0,0,33.78,463.58,283.88,0,0,PI_TEAM_ONLEY,2/1/2019,271,177,5.2,2.58,2.72,0.15,3.46,10.18,1241.35,497.37,0.51,15.28,16.14,9.17,182,2.58,69,51,1,0.7,66,1.55,1416.15,737.83,6.98,542.35,30.90823426,85.03,22.4
v62,4121,8481.67,1875.65,238.7,405.27,0,0,0,0,0,704.7,526.98,0,0,PI_TEAM_SMITH,2/1/2019,627,314,6.98,1.78,1.87,0.09,1.26,9.48,680.05,704.7,0.97,14.76,15.55,8.86,138,1.78,90,72,0,0,145,1.47,4375.93,1173.98,55.37,320.68,22.11415912,88.82,21.35
v63,15038,4662.48,1365.72,109.63,375.77,0,13.28,0.05,0,0,340.62,526.37,0,0,PI_TEAM_SMITH,2/1/2019,233,95,5.83,2.72,3.01,0.29,3.31,10.19,960.37,340.67,0.6,16.87,18.66,8.24,34,2.72,71,50,0,0,44,1.74,1364.73,701.85,5.43,264.38,29.29170742,82.82,22.39
v64,15041,8871.12,2024.77,255.65,335.62,1.07,39.75,0,0,43.43,830.2,519.05,0,0,PI_TEAM_SMITH,2/1/2019,692,382,5.92,2.03,2.36,0.32,1.46,9.09,668.73,873.63,0.85,17.55,20.35,10.46,407,2.03,90,67,1,0.05,210,1.05,4123.55,1631.08,21.3,401.68,22.82428825,90.81,22.83
v48,15048,5613.08,1743.75,179.23,808.42,0,0,0,0,7.5,499.28,249.32,0,0,PI_TEAM_SMITH,2/1/2019,252,176,4.91,3.64,3.78,0.14,3.61,11.21,1129.93,506.78,0.45,20.14,20.93,9.45,173,3.64,72,47,0,0,74,1.63,1241.77,953.3,6.35,537.98,31.06583195,64.38,28.29
v65,15059,4744.77,1630.52,153.13,622.82,0,0,0,0,161.17,416.32,276.98,0.1,0,PI_TEAM_SMITH,2/1/2019,174,95,5.67,5.15,5.31,0.17,3.01,12.63,943.88,577.48,0.43,23.3,24.05,12.93,39,5.15,70,41,1,0.08,38,1.03,986.08,924.7,4.05,255.53,34.36457405,30.86,43
v66,15205,9070.13,2044.78,218.37,395.42,31.13,0,0,0,22.15,834.98,541.48,1.25,0,PI_TEAM_SMITH,2/1/2019,561,367,6.73,2.7,3.1,0.39,2.14,11.23,844.88,857.13,0.78,18.72,21.45,10.05,506,2.7,88,64,0,0,210,1.34,3777.45,1737.67,12.35,653,22.54410907,75.53,28.38
v67,15230,8499.42,1934.73,237.4,289.42,30.08,162.97,0,0,24.42,598.28,591.82,0.35,0,PI_TEAM_SMITH,2/1/2019,593,277,5.26,2.07,2.21,0.13,1.37,8.11,1781.82,622.7,0.69,16.21,17.24,7.88,472,2.07,73,53,0,0,186,1.29,3140.35,1307.85,25.5,309.17,22.76308266,98.6,23.08
v68,15251,7640.42,2376.63,203.23,85.75,65.17,30.1,0,0,934.45,641.5,416.43,0,0,PI_TEAM_SMITH,2/1/2019,465,373,6.48,1.49,1.63,0.15,2.36,10,738.25,1575.95,0.71,9.77,10.75,21.82,357,1.49,86,72,0,0,176,1.32,3013.33,760.22,11.5,740.48,31.1060125,74.93,41.41
v69,15270,7509.68,1920.3,169.82,398.32,41.13,24.48,0,0,98.78,636.27,551.5,0,0,PI_TEAM_SMITH,2/1/2019,488,389,5.03,2.86,3.26,0.4,1.37,9.38,1107.67,735.05,0.63,21.4,24.37,10.56,450,2.86,81,53,3,0.98,193,1.21,2454.82,1588.92,14.57,423.42,25.57099637,80.44,27.31
v70,15278,6479.97,1626.38,189.03,371.5,30.95,21.3,0.05,0.07,57.07,565.9,390.52,0,0,PI_TEAM_SMITH,2/1/2019,345,124,6.19,2.34,2.5,0.17,1.99,9.41,1638.98,623.02,0.63,14.19,15.19,10.23,183,2.34,67,49,3,1.97,94,1.87,2136.02,864.1,57.42,157.07,25.09857299,88.49,30.78
v71,15286,9297.25,2111.1,194.18,419.07,30.77,7.92,0,0,55.12,811.47,592.58,0,0,PI_TEAM_SMITH,2/1/2019,725,339,6.66,1.49,1.67,0.18,1.22,8.9,810.47,866.58,0.98,13.11,14.68,9.96,652,1.49,89,72,0,0,187,1.05,4830.08,1211.8,16.62,317.18,22.70671435,86.7,23.86
v72,15308,8891.98,1989.57,223.47,314.4,35,95.1,0,0,0,810.83,510.77,0,0,PI_TEAM_SMITH,2/1/2019,587,352,7.2,2.69,2.85,0.15,1.72,11.08,501.08,810.83,0.88,19.69,20.8,9.67,502,2.69,93,69,1,8.68,221,1.42,4249.63,1670.43,13.82,467.45,22.37488163,79.64,24.28
v1,4220,7444.98,1674.17,138.38,306.72,23.28,10.82,0,0,120.05,603.65,471.27,0,0,PI_TEAM_DEASEY,1/1/2019,512,413,5.51,2.96,3.51,0.56,1.31,10.08,661.28,723.7,0.71,22.78,27.08,10.38,476,2.96,89,58,0,0,205,0.84,2819.95,1799.45,17.72,472.42,22.48723301,76.09,28.42
v2,4231,3479.52,707.05,89.75,43.47,29.4,0,0,0,6.37,321.02,217.05,0,0,PI_TEAM_DEASEY,1/1/2019,245,147,5.8,2.11,2.22,0.12,1,8.62,697.65,327.38,0.74,16.18,17.06,10.03,216,2.11,75,56,3,4.68,70,0.88,1425.35,544.22,9.08,96.17,20.32033154,94.11,30.48
